Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
Data Scientist,Data Products LLC,Remote,NaN,PostedToday,"$80,000 - $120,000 a year","Present information using data visualization techniques.
We also want to see a passion for machine-learning and research.
Analytical mind and business acumen.",https://www.indeed.com/company/Data-Products-LLC/jobs/Data-Scientist-90ba848d38aaf0e0?fccid=71329400b8671f5f&vjs=3,"About us
We are professional and data-driven.
Our work environment includes:
Growth opportunities
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements and skills
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Types: Full-time, Contract
Pay: $80,000.00 - $120,000.00 per year
Schedule:
Monday to Friday
Work Location: Remote"
Data Scientist - RWD,Norstella,Remote,NaN,EmployerActive 5 days ago,"$125,000 - $175,000 a year","Design data pipelines and queries and analyze data to support our Life Sciences use cases, particularly claims and lab data.",https://www.indeed.com/company/NorStella/jobs/Data-Scientist-98a669a8c3c97bf3?fccid=f5a8e2e808c3b88a&vjs=3,"Job Summary:
We are seeking an experienced Data Scientist to join our Real-world data (RWD) team and support our data-driven initiatives. The ideal candidate will have a strong background in SQL and one high-level programming language (ideally Python), content knowledge of the Life Sciences industry and the drug development lifecycle, and experience querying healthcare databases (claims, lab, EMR, etc.). The candidate will also contribute to conference and journal publications.
Responsibilities:
Design data pipelines and queries and analyze data to support our Life Sciences use cases, particularly claims and lab data
Develop and optimize database queries and procedures for data processing, transformation, and analysis
Develop advanced algorithms on large-scale healthcare databases
Create final deliverables in industry standard to share with external clients
Work with cross-functional teams to identify data needs and develop solutions to support business goals
Support conference and journal research publication opportunities
Monitor and troubleshoot data quality issues, and provide timely and effective solutions
Stay up-to-date with the latest industry trends and emerging technologies, and make recommendations for data engineering best practices and tools
Requirements:
Bachelor's degree in Data Science, Computer Science, Engineering, Public Health, Biostatistics, Epidemiology or related field
5+ years of experience working with and querying large databases
Strong proficiency in SQL and one high level programming language
Understanding of life sciences industry and drug development lifecycle
Experience working with healthcare databases (e.g., claims, EMR, labs, etc.)
Basic understanding of concepts used in epidemiological study design
Ability to work collaboratively in a team environment, as well as independently with minimal supervision
Strong problem-solving and analytical skills, with attention to detail
Please submit your resume for consideration.
Job Type: Full-time
Pay: $125,000.00 - $175,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
SQL: 1 year (Required)
Work Location: Remote

Health insurance"
Data Scientist,TELLUS SOLUTIONS,+3 locationsRemote,4.1,PostedToday,Up to $82.14 an hour,"Proficiency in machine learning algorithms such as multi-class classifications, decision trees, support vector machines, deep learning, and anomaly detection.",https://www.indeed.com/company/Tellus-Solutions/jobs/Data-Scientist-936cadb6853895f4?fccid=def1eacd3dd4aba0&vjs=3,"Job Description:
Data Scientists in the client Technology division specialize in applying computer vision, machine learning and artificial intelligence to solve problems across Merchandising, Marketing, Club Operations, Finance, eCommerce, and Security. You will have the opportunity to work with a high caliber team from a variety of disciplines to build new software and radically change our business. Data Scientists work as part of an Experience Team to develop and deploy advanced algorithms at scale. You will support and enable the entire project lifecycle including problem discovery with business clients, algorithmic design, coding, validation, deployment, testing, and monitoring. Data Scientists adhere to agile software development standards through rapid prototyping, iterative development, and incremental deployment of capabilities.
Key Responsibilities
Performs research and applies new techniques and concepts to solve problems
Understands and translates business and functional needs into AI/Client/CV problem statements
Develops custom Client/CV models to drive innovative business solutions
Manages and integrates complex data sets from multiple, disparate data sources
Writes complex queries and extracts data to build robust data pipelines
Collaborates with Engineering teams to integrate algorithms into tools, processes, and interfaces
Performs exploratory data analysis and develops models to identify trends and opportunities
Builds and deploys reusable services and utilities that can be leveraged by a wide range of applications
Applies innovative and scientific approaches to augment and automate business decisions
Proficiency in machine learning algorithms such as multi-class classifications, decision trees, support vector machines, deep learning, and anomaly detection
Strong understanding of probability and statistical models (generative and descriptive models)
Ability to run experiments scientifically and analyze results
Ability to effectively communicate technical concepts and results to business audiences in a comprehensive manner
Ability to collaborate effectively across multiple teams and stakeholders, including analytics teams, development teams, product management and operations
Must Haves
5 years' experience in building Client/CV based models in a professional environment
Experience with productionizing Machine Learning solutions in cloud environment
Strong background in Statistics and Operational Research
Familiarity with Deep Learning and computer vision algorithms
Proficiency in coding (Python)
Experience with creating models that run on device such as a smart phone
Preferred Qualifications
Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, using open-source frameworks (e.g., Scikit learn, TensorFlow, Torch)
Job Type: Contract
Salary: Up to $82.14 per hour
Benefits:
Health insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
SQL (Preferred)
Python (Preferred)
Machine learning (Preferred)
Work Location: Remote

Health insurance"
Jr. Data Scientist,Net2Aspire,Remote,NaN,EmployerActive 4 days ago,"$65,000 - $80,000 a year", Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation…,https://www.indeed.com/company/net2aspire/jobs/Junior-Data-Scientist-ac963185fd84f317?fccid=268145626d239938&vjs=3," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Job Types: Full-time, Part-time, Contract
Salary: $65,000.00 - $80,000.00 per year
Benefits:
401(k)
Health insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
Data science: 1 year (Required)
Machine learning: 1 year (Required)
Work Location: Remote

Health insurance"
Data Scientist (All Levels),Noblis,"Remote in Reston, VA 20191",4.0,PostedToday,NaN,"In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the…",https://www.indeed.com/rc/clk?jk=b8f1b308b3018c0f&fccid=05d6cb8b919478a9&vjs=3,"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Identify, apply, and adapt the latest research methodologies and open source solutions
Develop and train new machine learning models
Identify, curate, and process large data sets
Research, apply, analyze, and document technical approaches and their outcomes
Have opportunities to use various types of compute resources including on premises hardware and cloud resources
Qualifications:
Required minimum skills and knowledge:
All degrees must be in a STEM field such as computer science, statistics, data analytics, computer engineering, mathematics, and physics
Entry-Level: Bachelor's Degree +0-3 years of professional work experience or Master's Degree + 1-2 years of professional work experience
Mid-Level: Bachelor's Degree +3-5 years of professional work experience or Master’s Degree + 2-4 years of professional work experience
Must be a US Citizen and able to obtain necessary clearance
Desired skills and knowledge:
Top Secret clearance
The ideal candidate has proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
The Data Scientist has familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling, time-series forecasting, and/or geospatial analytics; experience with Hadoop, Spark, or other parallel storage/computing processes is a plus

#nowhiring
#externalreferral
#hotjobs
Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:
At Noblis we recognize and reward your contributions, provide you with growth opportunities, and support your total well-being. Our offerings include health, life, disability, financial, and retirement benefits, as well as paid leave, professional development, tuition assistance, and work-life programs. Our award programs acknowledge employees for exceptional performance and superior demonstration of our service standards. Full-time and part-time employees working at least 20 hours a week on a regular basis are eligible to participate in our benefit programs. Other offerings may be provided for employees not within this category. We encourage you to learn more about our total benefits by visiting the Benefits page on our Careers site.

Salary at Noblis is determined by various factors, including but not limited to, the combination of education, certifications, knowledge, skills, competencies, and experience, internal and external equity, location, and clearance level, as well as contract-specific affordability and organizational requirements and applicable employment laws. The projected compensation range for this position is provided within the posting and are based on full time status. Part time staff receive a prorated salary based on regularly scheduled hours. The estimated minimum and maximum displayed represents the broadest range for this position (inclusive of high geographic and high clearance requirements), and is just one component of Noblis’ total compensation package for employees.

With the continuing impacts of COVID-19 around the world, we are taking action to protect the health and well-being of our colleagues and maintain the safety of the communities where we operate. Noblis seeks an environment free from COVID-19 and prefers all employees to be fully vaccinated for COVID-19. Attestation of vaccination status will be required for employment with Noblis. Unvaccinated employees may be subject to additional health and safety requirements to include any federal, state and/or client restrictions.

Noblis and our wholly owned subsidiaries, Noblis ESI, and Noblis MSD tackle the nation's toughest problems and apply advanced solutions to our clients' most critical missions. We bring the best of scientific thought, management, and engineering expertise together in an environment of independence and objectivity to deliver enduring impact on federal missions. Noblis works with a wide range of government clients in the defense, intelligence and federal civil sectors. Learn more at Noblis -About Us

Why work at a Noblis company?
Our employees find greater meaning in their work and balance the other things in life that matter to them. Our people are our greatest asset. They are exceptionally skilled, knowledgeable, team-oriented, and mission-driven individuals who want to do work that matters and benefits the public. Noblis has won numerous workplace awards. Noblis maintains a drug-free workplace.

Noblis is an Equal Opportunity Employer. Employment decisions are made without regard to race (as well as because of or on the basis of traits historically associated with race, including hair texture, hair type, and protective hairstyles such as braids, locks, and twists), color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, pregnancy, childbirth, lactation and related medical conditions, genetic factors, military/veteran status, or other characteristics protected by law.

Noblis is committed to the full inclusion of all qualified individuals. As part of this commitment, Noblis will ensure that persons with disabilities are provided reasonable accommodations. If reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact employee-relations@noblis.org ."
Computational Biologist / Data Scientist,Inceptive,"Remote in Palo Alto, CA",NaN,PostedPosted 4 days ago,"$110,000 - $200,000 a year","Familiarity with data visualization tools.
Analyze, visualize and communicate insights from our experimental data.
30 days paid vacation per year.",https://www.indeed.com/rc/clk?jk=74b2cb0ec63a41ad&fccid=51bd5d6092e9a8e5&vjs=3,"At Inceptive, we don't have titles. The title you see at the top of this page is merely our pragmatic way to make sure we reach you. Instead of topic experts working in silos, we are building an antedisciplinary team where everyone is gaining deep knowledge outside of their traditional area of expertise. For this reason, we call ourselves Beginners. Read below to find out what impact you can have at Inceptive and what we have to offer.
At Inceptive, you will drive research forward that could help billions of people. To accomplish this, you will be part of an antedisciplinary team building our biological software. You will be involved in designing, testing and scaling novel experimental protocols to characterize molecules both in vitro and in silico. You will be responsible for deriving insights from our experimental data and enabling these to drive future development of our models and our protocols. You will ensure that Inceptive tracks and contributes to relevant developments in data science particularly as it relates to biology, and you will help shape the direction of the company in these areas. You will work effectively in an agile setting with recurring status updates and continuous knowledge sharing. We are happy to consider candidates at various stages in their career and the position could be tailored to your experience and career preferences.
YOUR MISSION
Analyze, visualize and communicate insights from our experimental data
Develop robust experimental protocols to further our ability to model RNA
Build tools and pipelines to ensure the quality of the data that we generate
Work together with a diverse team to incorporate insights from experimental design, machine learning and molecular biology into our protocols and models
Embody our vision of an antedisciplinary environment and embrace learning about areas outside of your traditional area of expertise.
Collaborate with team members from diverse backgrounds to build innovative and scalable experiments to solve complex problems that span biology and computation.
MINIMUM QUALIFICATIONS
Solid understanding of the principles of statistical data analysis and experimental design
Confident computational skills (ideally Python) for doing practical statistical analysis
Ability to communicate statistical information to a diverse audience
Understanding of best engineering practices around reproducibility and versioning
Problem-solver who is equally excited by finding creative solutions to complex problems, as you are by executing on them.
Ability to communicate technical and scientific concepts to team members from a broad variety of backgrounds.
Ability to understand the big picture, while driving projects on the ground from beginning to end.
Deep knowledge in your traditional area of expertise with a strong eagerness to connect to and apply your skills in other areas.
Be available to accommodate working with team members across different time zones (mainly in CET and PT). This may include being available for some meetings in the early evening if based in CET, or meetings in the early morning if based in PT.
PREFERRED QUALIFICATIONS
Experience of the whole life-cycle of experimental protocol design
Experience with high-throughput sequencing data or other biological data sources
Experience with code-review and the use of a shared code repository
Knowledge of an adjacent scientific field (molecular biology, genetics, immunology, chemistry)
Familiarity with data visualization tools
Familiarity with Cloud computing infrastructure
WHAT WE OFFER
A competitive compensation package
30 days paid vacation per year
Comprehensive health insurance and 401K with company match (US) or comparable benefits if based in other countries
Quarterly company-wide retreats (previous locations: Florida Keys, Yucatán Peninsula, Swiss Alps)
Budget for multiple visits per year to our offices in Berlin and/or in Palo Alto
Learning & Development budget to attend conferences, take courses, or otherwise invest in your professional growth, as well as access to the Learning & Development platform EdX
A buddy to help you get settled and teach you the ropes at Inceptive
This role is available fully remote or at our offices in Berlin or Palo Alto.
ABOUT INCEPTIVE
At Inceptive, we are working towards something never done before that promises to positively impact the lives of everyone. We are creating tools to develop increasingly powerful biological software for the rational design of novel, broadly accessible medicines and biotechnologies previously out of reach. Our team brings together vast expertise in molecular biology, machine learning, and software engineering, and we are all working towards becoming antedisciplinary, meaning we deepen the knowledge we have in our area of expertise while also expanding our knowledge of completely new fields. We approach our goals with a beginner's mind, humbly and with fresh eyes, and aim to become the pioneers of a new discipline rooted in biology as much as in deep learning, whose impact will be realized together with out-of-the-box thinkers in business and entrepreneurship, and by defying established categorizations and breaking glass ceilings. We are building a company culture centred around growth, learning, and discovery. We believe in humility and open-mindedness in how we approach each other, as well as problems we don't yet have solutions for.
It is the policy of Inceptive to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, age, disability, marital status, citizenship, national origin, genetic information, or any other characteristic protected by law. Inceptive prohibits any such discrimination or harassment.
Inceptive is also committed to welcoming and providing accommodations to people with disabilities. Please let your recruiter know if you need any accommodations throughout your application process.
Compensation Range: $110K - $200K"
Interdisciplinary-Microbiologist/Data Scientist,USDA,Remote,4.1,EmployerActive today,"$98,496 - $158,432 a year",Analyzing data provided by NAHLN laboratories to find insights and trends that may go undiscovered in traditional research.,https://www.indeed.com/company/US-Department-of-Agriculture/jobs/Interdisciplinary-Microbiologist-Data-Scientist-a337176467f4753e?fccid=2ca3f41384485c35&vjs=3,"MUST APPLY ON USAJOBS - https://www.usajobs.gov/job/710414900
Summary
In this position you will assist the National Animal Health Laboratory Network (NAHLN) Coordinator and Associate Coordinators in the overall leadership of the NAHLN, and serve as a technical liaison between Veterinary Services, the National Veterinary Services Laboratories (NVSL), and NAHLN laboratories for supporting the surveillance of and response to significant national animal health issues.
Duties
The duties may include, but are not limited to:
Providing data-driven solutions to complex challenges associated with the analysis, interpretation, and visualization of large and varied unstructured data sets.
Developing algorithms and/or tools to support data manipulation and processing as well as the use of data visualization techniques to articulate findings.
Analyzing data provided by NAHLN laboratories to find insights and trends that may go undiscovered in traditional research.
Working with large datasets and numerous confounding variables using appropriate tools and software to transform, combine, and clean data in preparation for analysis.
Initiating and maintaining networks, liaisons, and collaborations among internal and external partners and stakeholders to identify and document data management requirements.
Providing professional leadership in developing policies, standards, and operating procedures pertaining to data collection and analyses.
Preparing and presenting technical and general briefings to a variety of audiences.
Planning and coordinating technical training of internal and external employees in laboratory related data management and integration of laboratory data.
Job Type: Full-time
Pay: $98,496.00 - $158,432.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Work Location: Remote

Health insurance"
Data Scientist (US Remote Eligible),General Mills,"Remote in Minneapolis, MN 55426",3.9,PostedToday,NaN,"Proficient in basic statistical analysis, modeling, clustering, and data mining techniques to identify trends and insights.",https://www.indeed.com/rc/clk?jk=dc39ca87930d629b&fccid=3bcf7eb192e678e4&vjs=3,"Job Description:
POSITION OVERVIEW
Do you see patterns or opportunities that others don’t see? Do you enjoying asking questions and analyzing data to deepen your knowledge? Do you like to challenge historical assumptions and recommend new ways to drive action based on data driven insights? Do you like to find the best way to tackle a problem and share the approach with others?

To make the food people love, we need to make sure we feed our decision makers the right data and solutions at the right time, every time. As a Senior Data Scientist at General Mills, you will apply your strong expertise in machine learning, data mining and information retrieval to design, prototype and build next generation advanced analytics engine and services. You will collaborate with product owners, business partners and other Data Scientists in the consumer marketing and media space to define technical problem statement and hypothesis to test. In addition, you will develop efficient and accurate analytical models that mimic business decisions. In this role, you will:

KEY ACCOUNTABILITIES
Develop novel ways to help business partners achieve objectives through analysis and modelling
Educate cross-functional partners by effectively communicating your analytics approach in the marketing/media space
Think outside the box to identify and test new sources of information that unlock new business value
Curate and connect external data sets for broad enterprise-wide analytic usage
Be a storyteller to explain the ‘why and how’ of your data driven recommendations to cross-functional teams
Engineer features by using your business acumen to bin, aggregate, pivot or encode data for optimal results
Utilize machine learning to create repeatable, dynamic, and scalable models
Have passion to advocate and educate on the value and importance of data driven decision making and analytical methods
Identify and develop long-term data science processes, frameworks, tools, and standards
Be a part of the team, collaborate, ask questions, engage, and solicit feedback from other Data Scientists

MINIMUM QUALIFICATIONS
Bachelor’s Degree in Data Science, Computer Science, Engineering, Math, Statistics, or other quantitative field
6+ years of experience with at least 2 years of relevant experience in Data Science
Experience with machine learning
Mathematical and statistical background
Proficient in basic statistical analysis, modeling, clustering, and data mining techniques to identify trends and insights
Must have Python or R proficiency working with DataFrames
Ability to incorporate a variety of data sources in an analysis
Experience writing complex SQL queries
Understanding of data warehousing and databases is critical
Experience with data visualization tools
Number sense, ability to identify questionable data, dig in and address it
Exemplary organizational skills with attention to detail and accuracy
Bias for action with ability to deliver outstanding results through task prioritization and time management
Strong communication and collaboration skills to understand customer needs and deliver solutions in alignment with business needs

PREFERRED QUALIFICATIONS
Professional experience in a consumer, marketing, or media related role preferably in data science
Master's Degree
Experience with Google Cloud Platform or other cloud platforms
Company Overview:
We exist to make food the world loves. But we do more than that. Our company is a place that prioritizes being a force for good, a place to expand learning, explore new perspectives and reimagine new possibilities, every day. We look for people who want to bring their best — bold thinkers with big hearts who challenge one other and grow together. Because becoming the undisputed leader in food means surrounding ourselves with people who are hungry for what’s next."
Jr. Data Scientist,"WhirlWind Technologies, LLC",Remote,4.4,PostedPosted 30+ days ago,"$86,000 - $110,000 a year","Previous working experience as a data scientist or machine learning.
Identify and integrate tools to enhance data visualization efficiencies and effectiveness…",https://www.indeed.com/rc/clk?jk=d481a53712856322&fccid=98318de9a68e36bc&vjs=3,"Job Title/Level
Jr. Data Scientist

Location
100% Remote

Salary

$86,000-$110,000 Annually

Schedule
Full Time

Preferred Clearance
Must be able to obtain a Public Trust Clearance

Covid Vaccination

As a condition of employment, employees will be required to provide proof of their COVID-19 vaccination.

Company Overview
WhirlWind is on a mission to help each client succeed by using our management consulting and technology expertise. We design, build, and manage secure environments that support data-driven decision making and data-powered products. Our services transform governments and enhance the lives of citizens.

Our people are driven and committed to our mission. If you want to join a team of rock stars who do incredible, purposeful work, and have fun doing it, come thrive with us and be one of the heroes behind our success. We offer an attractive benefits package including a competitive base salary and have been voted the Best Place to Work for 2022.

Position Overview

WhirlWind Technologies, LLC has an immediate opening for a Junior Data Scientist with projects relating to data science, artificial intelligence (AI), or familiarity with key concepts in each field while working remotely. This role will work closely with machine learning projects' Product Owners and the customer's fellowship program. The ideal candidate is a recent graduate with 2+ years of experience with strong abilities to approach complex problems creatively, to lead their portion of work skillfully, and to help devise the delivery of thoughtful solutions as a part of a growing team. This position will report directly to the WhirlWind EDSDI Program Manager.

Top 3 Outcomes in Year 1

With your leadership and technical skills, achieve a state-of-the-art, highly automated, and interactive data visualization system
Lead and obtain organic growth of the current IT contract and client account
Achieve and/or increase customer satisfaction through mutually agreeable performance metrics

Essential Duties & Responsibilities

Develop methods and procedures for collection and analysis of data from several data sources
Monitor, review, and validate customer data is collected and processed on schedule
Automate data collection from various external data sources and data type
Lead requirements gathering from customer and stakeholders and create interactive data visualization dashboards that meet or exceed customer requirements and expectations
Identify and integrate tools to enhance data visualization efficiencies and effectiveness such as machine learning (ML), artificial intelligence (AI), and robotics process automation (RPA)
Proactively seek an understanding of the customer's business, mission, and vision to provide additional thought leadership to achieve their goals
Create clear and concise presentations as needed to communicate with the customer and stakeholders the status of projects and assigned tasks
Provide weekly written status reports and brief customer weekly on the status of the project activities

Required Qualifications

Ability to attain Public trust position
Experience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similar
Experience designing, training, using, and/or deploying machine learning models
Comfortable implementing modern software development practices, i.e. version control, continuous integration, test-driven development, etc.
A recent graduate with a Bachelors or Master's degree in Computer Science, Engineering, or similar relevant field experience
Knowledge of application system analysis and data analytics
Knowledge of business intelligence software
Professional attitude, with a strong self-directed work ethic and the ability to work in a fast-paced, dynamic environment
Solid communication skills, both verbal and written

Preferred Qualifications

2+ years of experience in one or more of the following: Python, Julia, C, C++, R, MATLAB, Java, Scala, EMR/spark or similar
Previous working experience as a data scientist or machine learning
Basic knowledge of Agile process and principles
Outstanding communication, presentation, and leadership skills
Excellent organizational and time management skills
Sharp analytical and problem-solving skills
Attention to details"
Associate Data Scientist,Polco,Remote,5.0,PostedPosted 10 days ago,"$80,000 - $110,000 a year","Conduct exploratory data analysis to identify trends and insights that inform business decisions.
In this role, you will help Polco leverage data to drive…",https://www.indeed.com/rc/clk?jk=1aa2211ccaa48337&fccid=ded19a16e25418f1&vjs=3,"The Role
We are seeking a motivated and analytical individual to join our team as an Associate Data Scientist. In this role, you will help Polco leverage data to drive impact and provide direction and insight internally and externally while also helping to manage our clients’ custom research needs. You will be responsible for data exploration, collection, and cleaning as well as analysis across a wide range of projects; some directly helping customers, others helping partners, and some helping to support business decisions and improve performance. As an Associate Data Scientist, you will work with a team of experienced professionals in a collaborative environment to analyze datasets and apply advanced statistical methods to solve complex problems.
Key Responsibilities
Extract, clean, transform, and load data from various sources for analysis
Search for new datasets that support Polco’s mission and products
Analyze datasets and develop predictive models to identify trends and patterns using regression and other statistical learning techniques
Develop and maintain data visualizations and dashboards to communicate insights to stakeholders
Conduct exploratory data analysis to identify trends and insights that inform business decisions
Participate in the design and execution of experiments to test hypotheses and evaluate the effectiveness of solutions
Stay up-to-date with emerging trends and technologies in data science and share knowledge with the team
Partner with other Polco teams to understand business requirements, collaborate on projects, and develop solutions that meet their needs
Identify new opportunities to leverage data and data science across the organization
Required Skills & Achievements
Bachelor’s Degree in a quantitative field (e.g. data science, statistics, mathematics, computer science, or economics)
Strong technical data science skills in SQL and a statistical programming language (ideally Python, close second is R) to ingest, clean, model, analyze, and visualize data
Knowledge of data cleaning, transformation, and manipulation techniques
Familiarity with machine learning algorithms and statistical methods
Analytics mindset, excellent problem-solving skills, and attention to detail
Strong communication skills and ability to work in a team environment
A desire to learn and apply new technologies and methods to solve complex problems.
Ability to work comfortably in ambiguous situations, launch new projects to achieve business goals, and work collaboratively in a dispersed team environment
An Ideal Candidate Will Also Have
Advanced degree in a related field that teaches statistics
Experience with data visualization tools (e.g. Looker and/or Tableau)
Practical skills (even better would be experience) with cloud-based data systems and tools (SQL, Git, relational databases, ETL, and data warehouses)
Examples of projects that demonstrate their abilities (e.g. a portfolio, Github repository, or passion project)
Excellent written and verbal communication skills, with both technical and non-technical audiences
Ability to train and mentor team members in data science best practices
Ability to develop and communicate vision to Data Science team and key partners
Familiarity with implementing and scaling statistical analyses and predictive modeling solutions (regression, PCA, random forest, clustering, support vector machines, dimensionality reduction, A/B testing, and natural language processing)
About Polco
Polco is a public engagement technology startup specializing in community surveys and civic engagement services for local governments and other public-sector clients across the United States. We’re dedicated to transforming how local governments, representatives and community organizations interact with the communities they serve—we’re all about civic engagement and creatively bringing new and innovative technologies to the front lines of public governance. Our team comes from every walk of life and all corners of the country, and we’re all problem solvers at heart.
Our Perks & Benefits
The excitement of being on the ground floor of a startup—you'll be an integral part to helping Polco develop and grow
The opportunity to work with a passionate and dedicated team
Exceptional benefits package including dental, medical and vision coverage, flexible work hours, remote working, and generous paid time off
Vanguard IRA with up to 3% company match of employee contribution
A home office/technology allowance on hire and renewing biannually
A professional development allowance
To Apply
Apply via the link below. A resume and a cover letter (half page, 12 point font) are required for full consideration. This position was first posted March 24, 2023 and will remain open until filled."
